i,j,v
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0x5314ec567d899b1ad5f036517fff2004e7fe5100,4.033168
0x1985ea6e9c68e1c272d8209f3b478ac2fdb25c87,0xb32b84494df2b99cae50683a4273cce4a21429bf,24.73222
0x4e65fe4dba92790696d040ac24aa414708f5c0ab,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,95.201502
0xd508c555c8349ae273c1da1fad738e9b66950d4b,0x50d274f81bee629a00ff140c3fe3c263a98afb15,6.115085
0xd508c555c8349ae273c1da1fad738e9b66950d4b,0xd156ffb54871f4562744d6be5d6321b5bffca3b6,7.972743
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,7.367563
0x3c5aac016ef2f178e8699d6208796a2d67557fe2,0xe523b9fda4e3a8afca962402731f633eb4ca8020,21.260442
0x52aa899454998be5b000ad077a46bbe360f4e497,0x67c26e83a302abd73d94a56cc88df0d7fd69f197,23.13222
0x52aa899454998be5b000ad077a46bbe360f4e497,0xd508c555c8349ae273c1da1fad738e9b66950d4b,84.292811
0xcad97616f91872c02ba3553db315db4015cbe850,0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,17.2603
0x3bb1abd5417672644ba27a78129a8283134106e5,0x1e7f002cdaca6f402a4ea11ddd8bab2a557ee7ba,3.614904
0xdf3e15d2335be8190ba84e25568d6341af2bc0be,0x79327d965e17f9638cd99c11627c2ad8065695b6,11.693949
0x52aa899454998be5b000ad077a46bbe360f4e497,0xede67cb668d244b8d661f568ae233924f3dc4590,25.044745
0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,0x3128a0f7f0ea68e7b7c9b00afa7e41045828e858,18.648584
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0xbf44de8fc9eeeed8615b0b3bc095cb0ddef35e09,20.629006
0xb32b84494df2b99cae50683a4273cce4a21429bf,0x52aa899454998be5b000ad077a46bbe360f4e497,13.261621
0xd0389e84178f809903cbfe7d1efae3efa9c1769c,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,75.234289
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0xf5042e6ffac5a625d4e7848e0b01373d8eb9e222,5.315085
0x67c26e83a302abd73d94a56cc88df0d7fd69f197,0x4cd00e387622c35bddb9b4c962c136462338bc31,5.783055
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0xd4a0e0b9149bcee3c920d2e00b5de09138fd8bb7,2.448604
0x5314ec567d899b1ad5f036517fff2004e7fe5100,0x9b8e9d521bba7507ea7995df58808913ab2014e1,10.67021
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0x8a311d7048c35985aa31c131b9a13e03a5f7422d,10.379818
0xe9fb8c70af1b99f2baaa07aa926fcf3d237348dd,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,23.584985
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,9.214833
0x5d60eee06c3fe051b204236d726acba58d38ece7,0x3bb1abd5417672644ba27a78129a8283134106e5,57.804167
0xc7695658167e9afe23363184be8d599faa996dac,0xd8881c3f7dd2e277b0f3ec6c49bbee35021008a9,9.830054
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0x08f83e8860912f8c8186461ea00db5f6030c70f6,9.240597
0xc7695658167e9afe23363184be8d599faa996dac,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,10.630228
0x52aa899454998be5b000ad077a46bbe360f4e497,0x5314ec567d899b1ad5f036517fff2004e7fe5100,21.340421
0x6581e989c48b9fb70cbaa5f887cee4285db054ad,0x38f32d77a5b0134f3d98bb6edc07471808aed99a,9.54459
0xd508c555c8349ae273c1da1fad738e9b66950d4b,0x0ba30bdd7d3c510de16c47385102c0b7068f4f33,21.26034
0x52aa899454998be5b000ad077a46bbe360f4e497,0x1b252f5aa0b44582fba1d4756cbcd7b39ca661ef,21.738193
0x52aa899454998be5b000ad077a46bbe360f4e497,0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,17.862753
0x52aa899454998be5b000ad077a46bbe360f4e497,0xd5231d23ed357409a538541358a4a6a0496b22cd,32.330521
0xb2acd3caab07d899ddab548794b16747d4922ca4,0x52aa899454998be5b000ad077a46bbe360f4e497,15.835909
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x3bb1abd5417672644ba27a78129a8283134106e5,166.051806
0xd508c555c8349ae273c1da1fad738e9b66950d4b,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,20.202826
0x3bb1abd5417672644ba27a78129a8283134106e5,0x5cbb387c5fdce343c29b41ea9d1a9bcbadec0182,10.63017
0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,20.389995
0x52aa899454998be5b000ad077a46bbe360f4e497,0xf69f29a2af99eb5bd178b77283b6e5df974fa557,28.01564
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0xbc34d5ffa9e652a3f71653b0fdf7cc3b15fb74a1,10.685162
0x52aa899454998be5b000ad077a46bbe360f4e497,0x6b452ea7ec92dad4179773d1cd5a95cc6adfc28d,13.16611
0xd508c555c8349ae273c1da1fad738e9b66950d4b,0x8e3421088d0cc49c5bdac7a2404b3930620c1c01,10.63017
